label,cap-shape,cap-surface,cap-color,bruises?,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-color,ring-number,ring-type,spore-print-color,population,habitat,veil-type
"c","x","s","n","t","p","f","c","n","k","e","e","s","s","w","w","w","o","p","k","s","u","p"
"p","x","s","y","t","a","f","c","b","k","e","c","s","s","w","w","w","o","p","n","n","g","p"
"p","b","s","w","t","l","f","c","b","n","e","c","s","s","w","w","w","o","p","n","n","m","p"
"c","x","y","w","t","p","f","c","n","n","e","e","s","s","w","w","w","o","p","k","s","u","p"
"p","x","s","g","f","n","f","w","b","k","t","e","s","s","w","w","w","o","e","n","a","g","p"
"p","x","y","y","t","a","f","c","b","n","e","c","s","s","w","w","w","o","p","k","n","g","p"
"p","b","s","w","t","a","f","c","b","g","e","c","s","s","w","w","w","o","p","k","n","m","p"
"p","b","y","w","t","l","f","c","b","n","e","c","s","s","w","w","w","o","p","n","s","m","p"
"c","x","y","w","t","p","f","c","n","p","e","e","s","s","w","w","w","o","p","k","v","g","p"
"p","b","s","y","t","a","f","c","b","g","e","c","s","s","w","w","w","o","p","k","s","m","p"
"p","x","y","y","t","l","f","c","b","g","e","c","s","s","w","w","w","o","p","n","n","g","p"
"p","x","y","y","t","a","f","c","b","n","e","c","s","s","w","w","w","o","p","k","s","m","p"
"p","b","s","y","t","a","f","c","b","w","e","c","s","s","w","w","w","o","p","n","s","g","p"
"c","x","y","w","t","p","f","c","n","k","e","e","s","s","w","w","w","o","p","n","v","u","p"
"p","x","f","n","f","n","f","w","b","n","t","e","s","f","w","w","w","o","e","k","a","g","p"
"p","s","f","g","f","n","f","c","n","k","e","e","s","s","w","w","w","o","p","n","y","u","p"
"p","f","f","w","f","n","f","w","b","k","t","e","s","s","w","w","w","o","e","n","a","g","p"
"c","x","s","n","t","p","f","c","n","n","e","e","s","s","w","w","w","o","p","k","s","g","p"
"c","x","y","w","t","p","f","c","n","n","e","e","s","s","w","w","w","o","p","n","s","u","p"
"c","x","s","n","t","p","f","c","n","k","e","e","s","s","w","w","w","o","p","n","s","u","p"
"p","b","s","y","t","a","f","c","b","k","e","c","s","s","w","w","w","o","p","n","s","m","p"
"c","x","y","n","t","p","f","c","n","n","e","e","s","s","w","w","w","o","p","n","v","g","p"
"p","b","y","y","t","l","f","c","b","k","e","c","s","s","w","w","w","o","p","n","s","m","p"
"p","b","y","w","t","a","f","c","b","w","e","c","s","s","w","w","w","o","p","n","n","m","p"
